Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28428816,BSB2,417695,REPLACEMENT PJ,CO  ,BSB ,BSB2,E,02/03/2026,10:35,17/03/2026,10:00,TXT8D01,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28429216,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,02/03/2026,11:49,17/03/2026,10:00,TCT0F03,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28461809,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,10/03/2026,11:27,17/03/2026,11:00,TEN5H84,B  ,ARGO,FLEX 1.0 4P,Nao,,,,Não,
28469784,BSB2,345741,PARCERIA,CO  ,BSB ,BSB2,E,12/03/2026,11:53,17/03/2026,12:00,TYP8I68,SV ,VOLKSWAGEN T-CROSS 1,P,Nao,,,,Não,
28466917,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,11/03/2026,14:52,17/03/2026,12:00,SIV5F23,B  ,ONIX,LS 1.0 4P,Nao,,,,Não,
28484755,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,12:43,17/03/2026,12:00,TEU0E38,SV ,TRACKER,PREMIER AT TURBO 1.2,Nao,,,,Não,
28481391,BSB2,490094,OTA,CO  ,BSB ,BSB2,E,15/03/2026,14:21,17/03/2026,12:00,TEN9B88,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não,
28390059,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,20/02/2026,12:39,17/03/2026,12:03,TEY4I63,EA ,POLO,SENSE AT 1.0 4P,Nao,,,,Não,
28474082,BSB2,419539,AG,CO  ,BSB ,BSB2,E,13/03/2026,12:14,17/03/2026,12:12,TDQ6C60,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28469718,BSB2,493613,AG,CO  ,BSB ,BSB2,E,12/03/2026,11:34,17/03/2026,12:30,UAA3A56,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28484762,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,12:46,17/03/2026,12:40,TYP0J46,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não,
28464258,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,20:21,17/03/2026,13:00,UAA3A48,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28484940,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,13:18,17/03/2026,13:04,TZA8B20,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não,
28474505,BSB2,493479,PARCERIA,CO  ,BSB ,BSB2,E,13/03/2026,13:20,17/03/2026,13:30,TCR8H62,B  ,HB20,COMFORT MT 1.0 4P,Nao,,,,Não,
