Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28366172,BSB2,375034,MENSAL MAIS,CO  ,BSB ,BSB2,E,02/13/2026,12:31,03/15/2026,12:26,TXK3D92,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não
28453710,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/08/2026,11:18,03/15/2026,12:30,TJS9H11,SU ,NIVUS,HIGHLINE 200 TSI AT,Nao,,,,Não
28474869,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,03/13/2026,14:25,03/15/2026,12:30,SJG9F54,B  ,ONIX,LS 1.0 4P,Nao,,,,Não
28422821,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,02/28/2026,11:29,03/15/2026,13:00,TJF3H79,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
28446498,BSB2,345644,PARCERIA,CO  ,BSB ,BSB2,E,03/06/2026,12:55,03/15/2026,13:00,GCZ3C61,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
28442205,BSB2,346358,REPLACEMENT PJ,CO  ,BSB ,BSB2,E,03/05/2026,13:49,03/15/2026,13:00,TXM0E77,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não
28477670,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/14/2026,08:54,03/15/2026,13:00,TYP1A36,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não
28474770,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,03/13/2026,14:06,03/15/2026,13:30,TXB4E85,BS ,ONIX PLUS,MT 1.0  4P,Nao,,,,Não
28474481,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,03/13/2026,13:10,03/15/2026,13:30,TYP0J94,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não
28470138,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,03/12/2026,12:59,03/15/2026,13:30,TCO3A34,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não
28476927,BSB2,345678,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,23:33,03/15/2026,14:00,TZA5A32,SG ,COMPASS,LONGITUDE TURBO FLEX,Nao,,,,Não
28366975,BSB2,375034,MENSAL MAIS,CO  ,BSB ,BSB2,E,02/13/2026,14:33,03/15/2026,14:24,UEM8E35,SV ,VOLKSWAGEN T-CROSS 1,P,Nao,,,,Não
28474904,BSB2,345678,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,14:34,03/15/2026,14:30,TXL2B29,B  ,VOLKSWAGEN POLO 1.0,P,Nao,,,,Não
28474596,BSB2,345676,PARCERIA,CO  ,BSB ,BSB2,E,03/13/2026,14:01,03/15/2026,15:00,TDX0E86,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não
28470371,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/12/2026,13:59,03/15/2026,15:00,FRJ1C72,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
28471922,BSB2,345955,OTA,CO  ,BSB ,BSB2,E,03/12/2026,20:44,03/15/2026,15:00,TDQ6D52,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não
28426214,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/01/2026,15:01,03/15/2026,15:00,TXA6H62,CA ,ONIX PLUS,TURBO LT AT 1.0 4P,Nao,,,,Não
28366373,BSB2,417338,REPLACEMENT,CO  ,BSB ,BSB2,E,02/13/2026,13:00,03/15/2026,15:00,PVR5J51,B  ,ONIX,MT 1.0 4P,Nao,,,,Não
28454619,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,03/08/2026,17:46,03/15/2026,16:00,STE3D12,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
28471836,BSB2,345676,PARCERIA,CO  ,BSB ,BSB2,E,03/12/2026,20:09,03/15/2026,16:00,TXE1G90,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não
28474437,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,13:04,03/15/2026,16:00,TYO3I84,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não
28476690,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,20:51,03/15/2026,16:00,TYP0J79,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não
28476707,BSB2,419539,AG,CO  ,BSB ,BSB2,E,03/13/2026,20:58,03/15/2026,16:00,SUF9J12,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
28476295,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,03/13/2026,18:51,03/15/2026,16:00,TYO9H25,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não
28477602,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,03/14/2026,08:43,03/15/2026,16:30,STS4C45,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
